"Name","NetWorth","Name2","img","img_src","lab_col"
"George Lucas",5,"George Lucas","https://imgur.com/7b82WlV.png","Image source: AP Wirephoto, Public domain, via Wikimedia Commons","#090909"
"Steven Spielberg",4.8,"Steven Spielberg","https://imgur.com/ugKVKRZ.png","Image by Gage Skidmore, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons","#50576f"
"Oprah Winfrey",2.8,"Oprah Winfrey","https://imgur.com/JVlmHiC.png","Image source: INTX: The Internet & Television Expo, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","#85242c"
"Kim Kardashian",1.7,"Kim Kardashian","https://imgur.com/BqoePyG.png","Image by Eva Rinaldi, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","#f83826"
"Michael Jordan",2,"Michael Jordan","https://imgur.com/h0JUO0B.png","Image source: DOD photo by D. Myles Cullen, Public domain, via Wikimedia Commons","#302521"
"Peter Jackson",1.5,"Peter Jackson","https://imgur.com/r8J7GqB.png","Image source: NZ, Office of the Governor-General, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons","#221f24"
"Rihanna",1.4,"Rihanna","https://imgur.com/qsFbDgr.png","Image by oouinouin from Nanterre, France, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","#252527"
"Jay-Z",2.5,"Jay-Z","https://imgur.com/hBUZHJf.png","Image by Joella Marano from Manhattan, NY, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","#1c1411"
"Tiger Woods",1.1,"Tiger Woods","https://imgur.com/GrDa8np.png","Image by Keith Allison, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","#798189"
"LeBron James",1,"LeBron James","https://imgur.com/ydrcYU8.png","Image source: All-Pro Reels, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","#4f40b8"
